num,app,category,description,auth,self_serve,gated_reason,api_surface,mcp_exists,buildability_verdict,blocker,evidence_url,confidence
1,Salesforce,CRM and Sales,"Cloud-based CRM platform for managing sales, service, marketing, and customer data",OAuth2,self-serve,,"extensive, full platform - REST, SOAP, GraphQL, Bulk, Streaming, and Metadata APIs covering nearly all CRM objects and platform features",True,yes,,https://developer.salesforce.com/docs/apis,high
2,HubSpot,CRM and Sales,"Cloud-based CRM and marketing/sales/service platform for managing contacts, deals, marketing, and customer support",OAuth2 (public apps) and private-app access tokens (API key-like bearer tokens),self-serve,,"extensive, full platform - REST APIs (v3) covering CRM objects, marketing, sales, service, CMS, workflows, webhooks, plus GraphQL for CRM data",True,yes,,https://developers.hubspot.com/ai-tools/mcp,high
3,Pipedrive,CRM and Sales,"Sales-focused CRM platform for managing pipelines, deals, contacts, and sales activities",API key (token) and OAuth2,self-serve,,"extensive, full platform - REST API v1 and v2 covering deals, persons, organizations, activities, products, leads, pipelines, webhooks, etc.",True,yes,,https://developers.pipedrive.com/docs/api/v1,high
4,Attio,CRM and Sales,"Attio is a flexible, data-model-driven CRM platform for managing companies, people, deals, and sales workflows.",API key (bearer access token) and OAuth2,self-serve,,"extensive, full platform REST API covering objects/records, lists, notes, tasks, comments, webhooks, and workspace members; docs at developers.attio.com",True,yes,,https://docs.attio.com/rest-api/tutorials/connect-an-app-through-oauth,high
5,Twenty,CRM and Sales,"Open-source CRM platform for managing contacts, companies, deals/opportunities, and custom objects.",API key (Bearer token); OAuth2 also supported for some integrations,self-serve,,"Extensive, documented REST and GraphQL API covering full CRUD on people, companies, opportunities, tasks, notes, and custom objects, plus webhooks; broad enough to cover most core CRM data operations",True,yes,,https://docs.twenty.com/developers/api-and-webhooks/api,high
6,Podio,CRM and Sales,"Customizable work-management and CRM platform where teams build apps/workflows to track projects, contacts, and deals",OAuth2 (with API key/Client ID + Client Secret registration),self-serve,,"extensive, full platform - REST API covering apps, items, tasks, spaces, contacts, files, comments, hooks, and more (100+ endpoints)",False,yes,,https://developers.podio.com/authentication,high
7,Zoho CRM,CRM and Sales,"Cloud-based CRM software for managing sales pipelines, leads, contacts, and customer engagement across channels.",OAuth2,self-serve,,"extensive, full platform - documented REST API (v2/v6) covering modules, records, notes, workflows, functions, bulk read/write, and metadata across the whole CRM object model",True,yes,,https://www.zoho.com/crm/developer/docs/api/v2/,medium
8,Close,CRM and Sales,"Close is an inside-sales CRM combining pipeline management with built-in calling, email, and SMS communication tools.","API key (HTTP Basic Auth, key as username/blank password); OAuth2 also supported for published integrations",self-serve,,"extensive, full-platform REST API (leads, contacts, opportunities, tasks, calls, SMS, emails, custom fields, search, webhooks, reporting) with interactive docs/explorer at developer.close.com",False,yes,,https://developer.close.com/,high
9,Copper,CRM and Sales,"Copper is a CRM built for Google Workspace that helps sales teams manage contacts, companies, leads, opportunities, and pipelines.","API key (token + user email header) and OAuth2 (Authorization Code Grant, non-expiring tokens)",self-serve,,"extensive - documented REST API (developer.copper.com) covering people, companies, leads, opportunities, projects, tasks, activities, custom fields, and webhooks; multiple third-party MCP servers already exist (e.g. 39-tool and 32-operation implementations)",True,yes,,https://developer.copper.com/introduction/authentication.html,high
10,DealCloud,CRM and Sales,"DealCloud is a deal, relationship, and pipeline management CRM platform built for private equity, investment banking, and other capital markets firms.",OAuth2 (client credentials flow using client_id + API key to obtain a bearer token),gated,"API keys/credentials can only be generated by an existing DealCloud customer admin from within a live tenant (via user Profile settings), so access requires a paid DealCloud subscription rather than free/trial developer signup","documented REST API covering data (objects/entries), schema, lists, users, files, and reporting endpoints plus Python/C# SDKs — moderately broad, full platform CRUD but tenant-scoped rather than a large public multi-tenant API",False,partial,requires an existing paid DealCloud tenant with admin-enabled API key/OAuth credentials; no public free-tier or sandbox for outside developers,https://api.docs.dealcloud.com/docs/token,medium
11,Zendesk,Support and Helpdesk,"Cloud-based customer service and support ticketing platform with helpdesk, live chat, and knowledge base tools","OAuth2 (primary/recommended) and API token with Basic auth (legacy, deprecated Apr 2027)",self-serve,,"extensive, full platform - REST APIs covering Tickets, Users, Organizations, Help Center, Chat, Talk, Search, Webhooks, etc. (hundreds of endpoints)",True,yes,,https://developer.zendesk.com/api-reference/introduction/security-and-auth/,high
12,Intercom,Support and Helpdesk,"Customer messaging platform providing live chat, helpdesk, and AI-powered support (Fin) for businesses to communicate with customers",OAuth2 (and API key/access tokens for private apps),self-serve,,"extensive, full platform - documented REST API (api.intercom.io) covering contacts, conversations, tickets, articles, admins, companies, data attributes, plus webhooks and a Canvas Kit for building apps; no official GraphQL API",True,yes,,https://developers.intercom.com/docs/references/rest-api/api.intercom.io/,high
13,Freshdesk,Support and Helpdesk,"Cloud-based customer support helpdesk software for ticketing, omnichannel support, and knowledge base management.","API key (HTTP Basic Auth, key as username, any string as password)",self-serve,,"extensive, full platform - REST v2 API covering tickets, contacts, companies, agents, groups, conversations, solutions/knowledge base, time entries, and more (dozens of endpoints)",True,yes,,https://developer.freshdesk.com/api/v1/,high
14,Front,Support and Helpdesk,"Front is a customer communication/helpdesk platform that unifies email, chat, and messaging channels into shared team inboxes with automation and collaboration tools.",OAuth2 and API key (API tokens),self-serve,,"extensive, full platform REST API (Core API covering conversations, messages, contacts, inboxes, tags, teammates, channels, rules, etc.) plus a webhooks and application/OAuth framework",True,yes,,https://dev.frontapp.com/docs/mcp-server,high
15,Pylon,Support and Helpdesk,"B2B customer support/helpdesk platform (shared Slack/Teams support, ticketing, knowledge base) for companies to manage customer issues and accounts",API key (Bearer token),self-serve,,"Documented REST API covering issues, accounts, contacts, teams, users, knowledge base, and 'me' endpoints — moderate breadth, roughly 20-30 endpoints; official remote MCP server also exists at mcp.usepylon.com (OAuth-based)",True,yes,,https://docs.usepylon.com/pylon-docs/developer/api/authentication,high
16,LiveAgent,Support and Helpdesk,"LiveAgent is a cloud-based helpdesk and live chat platform that unifies email, chat, calls, and social media into one ticketing system.",API key,self-serve,,"Extensive, full-platform REST API v3 (tickets, contacts, companies, tags, departments, agents, chat, etc.), documented per-instance at https://YOURDOMAIN.ladesk.com/docs/api/v3/; official Python client also exists",False,yes,,https://support.liveagent.com/741982-API-key,high
17,Plain,Support and Helpdesk,"Plain is a modern B2B customer support / helpdesk platform (shared inbox, ticketing, Slack-based support) built for software companies",API key,self-serve,,"extensive, full-platform GraphQL API covering threads, customers, tenants, labels, workflows, webhooks, etc.",False,yes,,https://www.plain.com/docs/graphql/authentication,medium
18,Help Scout,Support and Helpdesk,"Help Scout is a customer support/helpdesk platform providing shared inbox, live chat, knowledge base, and customer messaging tools.",OAuth2 (authorization code and client credentials grants); legacy API key support also documented,self-serve,,"extensive, full platform - Mailbox API v2 (REST/JSON) covers conversations, customers, mailboxes, users, tags, workflows, webhooks, and more, plus separate Docs API for knowledge base",False,yes,,https://developer.helpscout.com/mailbox-api/overview/authentication/,high
19,Gorgias,Support and Helpdesk,"Gorgias is an ecommerce-focused helpdesk platform that centralizes customer support tickets, live chat, and social/email channels with automation and AI agents.",API key (Basic Auth) for private apps; OAuth2 for public/marketplace apps,self-serve,,"extensive, full platform REST API (tickets, customers, tags, macros, integrations, satisfaction surveys, teams, etc.) plus an official MCP server at mcp.gorgias.com/mcp (beta, included on every helpdesk plan)",True,yes,,https://developers.gorgias.com/docs/access-tokens-api-keys,high
20,Gladly,Support and Helpdesk,"Gladly is a customer service platform that unifies all channels (voice, email, chat, SMS, social) into a single customer-centric timeline for agents.",token (API token via HTTP Basic Auth in Authorization header),gated,API tokens can only be created by a user with the 'API User' permission inside an existing paid Gladly account/admin console — no public self-signup or free trial for API access.,"moderate, REST API (developer.gladly.com/rest) covering customers, conversations, tasks, payments, and app platform/webhooks — not a huge endpoint count but reasonably full-featured for helpdesk workflows",False,partial,Requires an existing paid Gladly customer account with admin-level API User permission to generate credentials; no open developer signup,https://developer.gladly.com/rest/,medium
21,Slack,Communications and Messaging,"Team messaging and collaboration platform with channels, DMs, and workflow automation.",OAuth2 (plus bot/user tokens and legacy API tokens for internal apps),self-serve,,"extensive, full platform - Web API with 200+ REST-style methods (chat, conversations, users, files, admin, workflows) plus Events API, Socket Mode, and Block Kit; some admin/Enterprise Grid scopes require workspace admin approval",True,yes,,https://docs.slack.dev/authentication/installing-with-oauth/,high
22,Twilio,Communications and Messaging,"Cloud communications platform providing programmable APIs for SMS, voice, WhatsApp, video, and email messaging.","API key (Account SID + Auth Token / API Key-Secret, Basic Auth over HTTPS), with OAuth2 available for some Twilio products",self-serve,,"extensive, full platform - documented REST API with 1,800+ endpoints across 30+ products (SMS, Voice, Video, WhatsApp, Verify, etc.)",True,yes,,https://www.twilio.com/docs/ai/mcp,high
23,Zoho Cliq,Communications and Messaging,"Business team chat/messaging platform with channels, bots, and workflow automation.",OAuth2,self-serve,,"extensive, full platform - REST API v2/v3 covering messages, channels, chats, bots, users, plus a bot/webhook platform (incoming/outgoing webhooks, message handlers, slash commands, widgets)",True,yes,,https://www.zoho.com/cliq/help/restapi/v3/introduction/,high
24,Lark (Larksuite),Communications and Messaging,"All-in-one collaboration suite (chat/messaging, docs, sheets, calendar, approval, drive) with an extensive Open Platform API for building custom apps and bots",OAuth2 (user_access_token) plus app-credential tokens (App ID/App Secret -> tenant_access_token/app_access_token),self-serve,,"extensive, full platform - hundreds of REST endpoints across messaging, bots/events, docs, sheets, calendar, contacts, approval, drive, attendance",True,yes,,https://open.larksuite.com/document/server-docs/getting-started/api-access-token/app-access-token-development-guide,high
25,Pumble,Communications and Messaging,"Pumble is a team chat and messaging app (Slack alternative) offering channels, DMs, and video calls for workplace communication.",API key,self-serve,,"narrow, documented REST API (~10-20 endpoints) covering messaging, channels, and users, aimed at bots/integrations",False,partial,"API surface is limited mainly to messaging/bot use cases, lacking deeper admin/workspace management endpoints, and no existing MCP server",https://pumble.com/help/apps-and-integrations/pumble-api/,medium
26,Discord,Communications and Messaging,"Discord is a chat platform providing voice, video, and text communication organized into servers and channels for communities and teams.",OAuth2 and bot token (API key-style),self-serve,,"extensive, full platform - documented REST API plus real-time Gateway (WebSocket) covering messaging, channels, guilds/servers, users, voice, webhooks, interactions/slash commands, and more (hundreds of endpoints/events)",True,yes,,https://discord.com/developers/docs/intro,high
27,Telegram,Communications and Messaging,"Cloud-based instant messaging platform offering chat, voice/video, channels, and bots via its Bot API and client (MTProto) API.",token (bot token via BotFather for Bot API; api_id/api_hash + phone auth for MTProto client API),self-serve,,"extensive, full platform - Bot API has 100+ methods (messages, media, inline queries, payments, webhooks, groups/channels management) plus a separate low-level MTProto Client API for full user-account automation",True,yes,,https://core.telegram.org/bots/api,high
28,WhatsApp Business,Communications and Messaging,"Cloud API letting businesses send/receive WhatsApp messages, manage templates, phone numbers, and business profiles programmatically.","OAuth2 / token (Meta system-user and business-integration access tokens, Bearer auth)",gated,"Free test-number sandbox exists, but production use requires a verified Meta Business Manager account, phone number registration, and Meta approval of message templates/display name.","extensive, full platform - Graph API-based endpoints for messages, media, templates, phone numbers, business management, webhooks, flows, and commerce/catalog",True,yes,Business verification and template/number approval gate production access even though the API itself is well-documented and broad,https://developers.facebook.com/documentation/business-messaging/whatsapp/get-started,high
29,Aircall,Communications and Messaging,"Cloud-based phone system and call center software with click-to-dial, call routing, and CRM/helpdesk integrations",Basic (api_id/api_token) for own-account apps; OAuth2 for marketplace/partner apps,self-serve,,"extensive, full platform - calls, contacts, users, teams, numbers, webhooks, SMS, IVR/dialer endpoints documented at developer.aircall.io",True,yes,,https://developer.aircall.io/api-references/,high
30,Vonage,Communications and Messaging,"Cloud communications platform providing APIs for SMS, voice calls, WhatsApp/RCS messaging, verification/2FA, and video.",API key,self-serve,,"extensive, full platform (SMS, Voice, Verify, WhatsApp/RCS Messages, Video, Number Insight, JWT-secured Applications API) with signup and free trial credit",True,yes,,https://developer.vonage.com/en/getting-started/concepts/authentication,high
31,Google Ads,"Marketing, Ads, Email and Social","API for programmatically creating, managing, and reporting on Google Ads advertising campaigns.",OAuth2 (plus a required Google-issued developer token),gated,Requires a Google Ads developer token whose production-level access must be manually reviewed and approved by Google; only limited test-account access is available immediately.,"extensive, full platform (Google Ads API covers campaigns, ad groups, ads, bidding, reporting via GAQL, conversions, audiences, etc. across hundreds of resources); no official MCP server, though some community/unofficial MCP wrappers exist",False,partial,"Production API access requires Google's developer token approval process (basic/standard access review), which can take days to weeks and requires an active Google Ads account and compliance with Google's ads policies.",https://developers.google.com/google-ads/api/docs/get-started/dev-token,high
32,Meta Ads,"Marketing, Ads, Email and Social","Meta's Marketing API lets developers create, manage, and analyze ad campaigns across Facebook, Instagram, Messenger, and Audience Network programmatically.",OAuth2,gated,"Requires a Meta developer app, an ad account, and Meta App Review/Business Verification (advanced access) to use most Marketing API permissions in production.","extensive, full platform - REST-based Graph API covering campaigns, ad sets, ads, creatives, audiences, insights/reporting, and more (100+ endpoints/fields)",False,partial,"App Review and Business Verification gating (advanced access, ad account permissions) add friction beyond simple self-serve API key/OAuth signup",https://developers.facebook.com/docs/marketing-apis,high
33,LinkedIn Ads,"Marketing, Ads, Email and Social","REST APIs for creating and managing LinkedIn ad campaigns, creatives, audience targeting, and performance reporting.",OAuth2,gated,"Requires a verified Company Page, an approved developer app, and LinkedIn's manual review/vetting to be granted the Advertising API product before any credentials work.","extensive - full platform of REST APIs (Campaign Management, Creatives, Ad Analytics/Reporting, DMP Segments/audience targeting, Conversions API, Company Intelligence), covering most ad account lifecycle operations",False,partial,"API access requires LinkedIn's manual app review and Advertising API product approval (often 1-4 weeks, rejections common), gating self-serve/free access despite a broad, well-documented API surface.",https://learn.microsoft.com/en-us/linkedin/marketing/overview?view=li-lms-2026-05,high
34,GoHighLevel,"Marketing, Ads, Email and Social","All-in-one CRM/marketing platform (by HighLevel) for managing contacts, funnels, calendars, campaigns, and communications for agencies and their clients.",OAuth2 (Authorization Code Grant with refresh tokens); also supports Private Integration Tokens for direct/location-level access,self-serve,,"extensive, full platform - REST API v2 covering Contacts, Conversations, Opportunities, Calendars, Payments, Workflows, Locations, Custom Fields, etc. (public docs + GitHub repo)",True,yes,,https://marketplace.gohighlevel.com/docs/other/mcp/,high
35,Mailchimp,"Marketing, Ads, Email and Social","Email marketing and marketing automation platform for creating campaigns, audiences, and reports","API key, OAuth2",self-serve,,"extensive, full platform (Marketing API covers lists/audiences, campaigns, automations, templates, reports, e-commerce, plus Transactional/Mandrill API separately)",False,yes,,https://mailchimp.com/developer/marketing/docs/fundamentals/,high
36,Klaviyo,"Marketing, Ads, Email and Social",Email/SMS marketing automation and customer data platform for e-commerce and D2C brands,API key (private key) and OAuth2 for server-side; public key for client-side,self-serve,,"extensive, full platform REST API covering profiles, campaigns, flows, lists, segments, events, metrics, templates, catalogs, and more (100+ endpoints)",True,yes,,https://developers.klaviyo.com/en/docs/klaviyo_mcp_server,high
37,systeme.io,"Marketing, Ads, Email and Social","All-in-one marketing platform for building sales funnels, email campaigns, online courses, and affiliate programs.",API key,self-serve,,"Documented public REST API covering contacts, tags, courses/enrollments, webhooks, and more (moderate breadth, ~30-40 endpoints); some resources like communities and course/student management are still on the public roadmap; no MCP server exists yet.",False,partial,"API coverage is still incomplete for some resources (e.g. communities, deeper course/student management are requested but not yet available), limiting full platform automation.",https://developer.systeme.io/reference,medium
38,Pinterest,"Marketing, Ads, Email and Social","Lets developers manage Pinterest boards, pins, ads campaigns, and analytics programmatically for business accounts.",OAuth2,gated,Apps must submit a request form and pass Pinterest's manual review (trial access) before receiving API credentials; higher 'standard'/advanced access tiers require additional review and business verification.,"extensive - REST API v5 (v5.3.0) covering pins, boards, user accounts, ads/campaigns, catalogs, and analytics; roughly 50+ endpoints",False,partial,"No official Pinterest MCP server; only unofficial community-built ones exist, and API access requires manual trial-app approval plus tiered access escalation for full ads/analytics scopes.",https://developers.pinterest.com/docs/api/v5/,medium
39,Threads (Meta),"Marketing, Ads, Email and Social","Lets developers programmatically publish posts (text/image/video/carousel), manage replies, and retrieve insights/profile data for the Threads social network.",OAuth2,gated,"A Meta developer app can be created for free, but publishing/reading on behalf of any user beyond your own test accounts requires Meta App Review and Business Verification before production access is granted.","narrow-to-moderate, ~15-20 REST (Graph API-style) endpoints covering publishing, replies, insights, and profile management; no GraphQL",False,partial,"Production use requires Meta App Review approval and business verification, limiting immediate self-serve agent access to developer's own test account",https://developers.facebook.com/docs/threads,medium
40,SendGrid,"Marketing, Ads, Email and Social",Cloud-based email delivery platform for sending transactional and marketing emails at scale via API or SMTP,API key,self-serve,,"extensive, full platform - v3 REST API covers mail send, templates, marketing campaigns/contacts, stats, suppressions, webhooks, subusers, IP pools, and more (100+ endpoints)",True,yes,,https://www.twilio.com/docs/sendgrid/api-reference/how-to-use-the-sendgrid-v3-api/authentication,high
41,Shopify,Ecommerce,"Ecommerce platform letting merchants build, run, and scale online stores, with APIs to manage products, orders, customers, and storefronts.",OAuth2 (also token exchange / access tokens for custom apps),self-serve,,"extensive, full platform — GraphQL Admin API (primary, thousands of fields/types across products, orders, customers, inventory, fulfillment, etc.), REST Admin API (legacy, being phased down), Storefront API, and Partner/CLI APIs; official Storefront MCP, Customer Accounts MCP, and Shopify Dev MCP servers already exist",True,yes,,https://shopify.dev/docs/api/usage/authentication,high
42,WooCommerce,Ecommerce,"Open-source WordPress ecommerce plugin whose REST API lets developers manage store data like products, orders, customers, and coupons programmatically","API key (Consumer Key/Secret via OAuth1.0a query auth over HTTP, or Basic Auth over HTTPS)",self-serve,,"extensive, full platform - REST API covers products, variations, orders, refunds, customers, coupons, reports, taxes, shipping, webhooks, and settings (dozens of endpoints); official docs at woocommerce.github.io/woocommerce-rest-api-docs",True,yes,,https://woocommerce.com/document/woocommerce-rest-api/,high
43,BigCommerce,Ecommerce,"Cloud ecommerce platform providing REST/GraphQL APIs to manage products, orders, customers, carts, and storefronts",OAuth2 (app auth) and API key (store-level API accounts with tokens),self-serve,,"extensive, full platform - hundreds of REST endpoints (Catalog, Orders, Customers, Carts/Checkout, Webhooks) plus a GraphQL Storefront API; no official MCP server found yet",False,yes,,https://developer.bigcommerce.com/docs/rest-management,high
44,Salesforce Commerce Cloud,Ecommerce,"Enterprise cloud e-commerce platform (B2C/B2B Commerce Cloud) for building and managing online storefronts, merchandising, checkout, and order management.",OAuth2 (JWT bearer access tokens via Client Credentials or Account Manager; SCAPI/OCAPI API clients),gated,Requires an existing Commerce Cloud org/license and Business Manager admin access to register an API client in Salesforce Account Manager; no free public signup for API credentials,"extensive, full platform - SCAPI (B2C Commerce API) offers Shopper, Admin, and Data APIs (products, baskets, orders, customers, pricing, promotions, etc.) plus legacy OCAPI (deprecated April 2026); dozens of resource endpoints across Shopper/Admin APIs",False,partial,"Requires a provisioned Commerce Cloud sandbox/instance and admin-created API client credentials (no self-serve trial credentials), limiting out-of-the-box agent access",https://developer.salesforce.com/docs/commerce/commerce-api/guide/authorization.html,medium
45,Magento (Adobe Commerce),Ecommerce,"Adobe's enterprise ecommerce platform (Magento Open Source / Adobe Commerce) for building and managing online storefronts, catalogs, orders, and checkout.","OAuth2 (OAuth 1.0a for third-party integrations, Adobe IMS for SaaS/Cloud), token-based Bearer auth, and API keys for admin/customer sessions",self-serve,,"extensive, full platform - documented REST API (hundreds of endpoints across catalog, orders, customers, inventory, CMS) plus a full GraphQL API for storefront queries/mutations; community MCP servers already exist (e.g. magento-mcp, adobe-commerce-dev-mcp, Freento MCP module) and Adobe announced an official MCP server at Summit 2026",True,yes,,https://developer.adobe.com/commerce/webapi/rest/,high
46,Squarespace,Ecommerce,"Squarespace's Commerce APIs let developers manage products, inventory, orders, transactions, profiles, and webhooks for Squarespace-hosted online stores.",OAuth2 (for registered Extensions) and API keys (Bearer token) for merchant-generated access,gated,"API keys can only be generated by a site owner on a paid Squarespace Commerce plan, and OAuth client registration requires submitting an app for Squarespace review/approval as a registered Extension","Documented REST API covering Products, Inventory, Orders, Transactions, Profiles, and Webhook Subscriptions (~6 resource areas, moderate breadth, not a full platform API); no official MCP server, though several third-party/community MCP servers exist",True,partial,"Requires a paid Commerce plan and store setup to get API keys, or a reviewed/approved OAuth Extension registration, limiting free/self-serve access",https://developers.squarespace.com/commerce-apis/authentication-and-permissions,medium
47,Ecwid,Ecommerce,"Ecwid is an ecommerce platform/storefront builder that lets merchants add online stores to websites, marketplaces, and social channels.",OAuth2 (plus long-lived private/public access tokens for custom apps),gated,API access requires the store to be on a paid Ecwid plan (or a free plan upgrade requested from Ecwid for a dev/integration project) before tokens/scopes can be issued,"extensive, full platform - REST API covering products, categories, orders, customers, discounts, storefront, profile, and app market/OAuth endpoints (dozens of resources)",False,partial,"Requires a paid store plan (or manual free-upgrade request) to unlock API access, adding a gating step beyond pure self-serve signup",https://api-docs.ecwid.com/reference/rest-api,medium
48,Gumroad,Ecommerce,"Gumroad lets creators sell digital products, memberships, and services directly to consumers, with an API to manage products, sales, subscribers, and licenses",OAuth2,self-serve,,"documented REST API (v2) covering products, variants, offer codes, sales, subscribers, resource subscriptions, and license verification — narrow-to-moderate, roughly 30-40 endpoints across ~8 resource types; no official or widely-known MCP server exists",False,yes,,https://app.gumroad.com/api,high
49,Amazon Selling Partner,Ecommerce,"Suite of REST APIs (SP-API) letting Amazon sellers and vendors programmatically manage orders, listings, inventory, pricing, reports, and fulfillment.",OAuth2,gated,"Requires a registered Amazon Professional Seller/Vendor account and app registration; public apps need Amazon review/approval (especially for restricted PII data access roles), private apps require self-authorization via Seller/Vendor Central.","extensive, full platform - 30+ API sections (Orders, Listings, Catalog, Reports, Feeds, FBA Inventory, Pricing, Finances, Notifications, etc.) covering hundreds of endpoints",True,partial,"Access requires an active paid Amazon seller/vendor account plus Amazon's app approval/authorization workflow (OAuth via Login with Amazon), which limits pure self-serve trial access for a generic agent toolkit.",https://developer-docs.amazon.com/sp-api/docs/authorizing-selling-partner-api-applications,high
