num,app,category,description,auth,self_serve,gated_reason,api_surface,mcp_exists,buildability_verdict,blocker,evidence_url,confidence
50,fanbasis,Ecommerce,"Payments/checkout platform (rebranded Commas) for creators and merchants, offering checkout pages, subscriptions, funnels, BNPL financing, and payment orchestration.",API key,self-serve,,"Documented REST API (apidocs.fan) covering checkout sessions, customers, subscriptions, discount codes, and webhooks, plus SDKs for Node/Python/PHP/Ruby and a Postman collection — moderate breadth, ~20-30 endpoints, not a full extensive platform",False,yes,,https://apidocs.fan/,medium
51,DataForSEO,"Data, SEO and Scraping","Provides pay-as-you-go REST APIs for SERP scraping, keyword research, backlinks, on-page SEO, and other search/marketing data.",Basic (API login/password via HTTP Basic Auth header),self-serve,,"extensive, full platform - dozens of endpoints across SERP, Keywords Data, Backlinks, On-Page, DataForSEO Labs, Content Analysis, Business Data, Domain Analytics modules",True,yes,,https://docs.dataforseo.com/v3/auth/,high
52,SE Ranking,"Data, SEO and Scraping","SEO platform providing keyword research, rank tracking, backlink analysis, site audits, and SERP/AI-visibility data via REST APIs","API key (token, via Authorization header or token param)",self-serve,,"extensive, full platform - Data API (keyword research, backlinks, domain performance, SERP, site audits, AI visibility) plus Project API (rank tracking, keyword grouping, competitor/AI visibility monitoring) across six documented endpoint groups, all JSON REST",True,yes,,https://seranking.com/api/how-to-get-api/,high
53,Ahrefs,"Data, SEO and Scraping","SEO toolset (Site Explorer, Keywords Explorer, Rank Tracker, Site Audit) with a REST API v3 exposing backlink, keyword, and site-audit data.","API key (Bearer token), with OAuth2 also available for Ahrefs Connect integrations",gated,"API v3 access requires an active Lite-tier or higher paid subscription (Starter and free plans excluded), and keys are managed only by workspace owners/admins","extensive, full platform — covers Site Explorer (backlinks, organic search, referring domains), Keywords Explorer, Rank Tracker, Site Audit, and account/subscription endpoints; consumption metered via API units",False,partial,"No free/trial tier for API access — requires a paid Lite+ subscription and consumes metered API units, limiting frictionless agent onboarding",https://docs.ahrefs.com/docs/api/reference/introduction,medium
54,MrScraper,"Data, SEO and Scraping",AI-assisted no-code web scraper builder that lets users create scrapers via natural language/point-and-click and run them at scale with rotating proxies.,API key (Bearer token),self-serve,,"narrow, single main endpoint (scrapers-ai-rerun) to trigger/rerun scrapers created in the UI plus token management; not a broad general-purpose REST platform",False,partial,"API only reruns scrapers pre-built in the MrScraper UI (no way to define/configure a scraper purely via API), so an agent would still depend on a human-configured scraper before it can call the endpoint",https://docs.mrscraper.com/docs/features/activating-api,medium
55,Apify,"Data, SEO and Scraping","Cloud platform for building, running, and sharing web scrapers and automation tools ('Actors') via API, with a store of thousands of ready-made scrapers.","API key (Bearer token, also supports OAuth for MCP)",self-serve,,"extensive, full platform REST API (Actors, datasets, key-value stores, webhooks, schedules, users, storage) plus official JS/Python API clients",True,yes,,https://docs.apify.com/platform/integrations/mcp,high
56,Firecrawl,"Data, SEO and Scraping","API that turns any website into clean, LLM-ready data via scraping, crawling, mapping, and structured extraction",API key,self-serve,,"extensive: REST API covering scrape, crawl, map, search, batch scrape, and structured extract endpoints, plus SDKs",True,yes,,https://docs.firecrawl.dev/mcp,high
57,Bright Data,"Data, SEO and Scraping","Web data platform providing proxies, web unlocker, scraping APIs, and pre-built datasets for extracting public web data at scale",API key,self-serve,,"extensive, full platform - REST APIs covering Web Scraper/Crawl API, Web Unlocker, Dataset Marketplace, Browser API, SERP API, plus a CLI; official MCP server already exists",True,yes,,https://docs.brightdata.com/api-reference/authentication,high
58,Sherlock,"Data, SEO and Scraping",Open-source Python CLI tool that hunts down social media accounts by username across hundreds of social networks,other,self-serve,,"No official hosted API; it is a local CLI/Python tool run against site-specific URLs, and a community-built experimental Django REST wrapper (sherlock-project/api) exists but has been unmaintained since 2021",False,partial,"No official maintained API or auth model to build against — only a CLI you'd have to wrap yourself, or an abandoned experimental REST project",https://github.com/sherlock-project/sherlock,medium
59,Waterfall.io,"Data, SEO and Scraping","B2B data enrichment API that aggregates 30+ vendors to return verified emails, phone numbers, and company/contact intelligence in real time.",API key,self-serve,,"narrow, ~5-6 REST endpoints (Prospector, Contact Enrichment, Phone Enrichment, Company Enrichment, Email Verification, job-change detection) with async/webhook support; no GraphQL",False,yes,,https://apidocs.waterfall.com/,medium
60,Clay,"Data, SEO and Scraping","Clay is a GTM data enrichment and workflow automation platform that lets users build tables to scrape, enrich, and route contact/company data using 100+ integrated data providers and AI.","API key (Bearer token), with support for Basic Auth and JWT-based flows for custom HTTP API integrations",gated,"Core HTTP API/webhook integrations require a paid Growth plan (~$495/mo), and the full 'Enterprise API' for people/company data is only available on Enterprise contracts (~$30K+/yr); the free tier does not include API/webhook access","Narrow: primarily inbound webhooks to trigger/populate Clay table workflows and an HTTP API step for calling external APIs from within tables; a separate, more limited Enterprise API exists just for people/company data lookups (not a general table CRUD API). No broad public REST/GraphQL platform API.",True,partial,"No full public REST/GraphQL API for managing tables/workflows programmatically—access is webhook/trigger-based and gated behind paid Growth or Enterprise plans; existing MCP server is an unofficial third-party (webhook-wrapping) project, not an official Clay-maintained API",https://university.clay.com/docs/http-api-integration-overview,medium
61,GitHub,"Developer, Infra and Data platforms","Hosts Git repositories and provides collaboration tools (issues, pull requests, actions, packages) for software development",OAuth2 and token (personal access tokens / GitHub App installation tokens),self-serve,,"extensive, full platform - REST API (docs.github.com/rest) covers repos, issues, PRs, actions, packages, orgs, users, webhooks, etc., plus a parallel GraphQL API; thousands of endpoints/fields",True,yes,,https://docs.github.com/en/rest,high
62,Vercel,"Developer, Infra and Data platforms","Cloud platform for deploying and hosting frontend/web applications, providing programmatic control over deployments, projects, domains, and infra.","token (Bearer personal access tokens / API keys), OAuth2 for integrations and the official MCP server",self-serve,,"extensive, full platform — 40+ resource categories (deployments, projects, domains, DNS, teams, env vars, edge config, webhooks, firewall, artifacts, logs, etc.) covering nearly all dashboard functionality",True,yes,,https://vercel.com/docs/rest-api,high
63,Netlify,"Developer, Infra and Data platforms","Netlify is a platform for building, deploying, and hosting web applications and static/serverless sites with CI/CD, edge functions, and CDN.",OAuth2 (for public integrations) and personal access token (Bearer token) for direct API/CLI use,self-serve,,"extensive, full platform - documented REST API (open-api.netlify.com) covering sites, deploys, forms, DNS, functions, env vars, teams, and more; well beyond ~10 endpoints",True,yes,,https://docs.netlify.com/api-and-cli-guides/api-guides/get-started-with-api/,high
64,Cloudflare,"Developer, Infra and Data platforms","Cloudflare provides a global edge network platform (CDN, DNS, security, Workers serverless compute, R2 storage, and more) accessible via a comprehensive REST API.",API key / token (API tokens with scoped permissions; legacy Global API Key; OAuth used for the hosted MCP server),self-serve,,"extensive, full platform - REST API (developers.cloudflare.com/api) covering 2,500+ endpoints across DNS, Workers, R2, KV, D1, Zero Trust, Analytics (GraphQL), and virtually every Cloudflare product",True,yes,,https://developers.cloudflare.com/fundamentals/api/get-started/,high
65,Supabase,"Developer, Infra and Data platforms","Open-source Firebase alternative providing a hosted Postgres database, auth, storage, edge functions, and realtime APIs for building backends.",API key (project anon/service keys) plus OAuth2/personal access tokens for the Management API,self-serve,,"extensive, full platform: auto-generated REST (PostgREST) and GraphQL APIs per project, plus a separate Management REST API covering ~all org/project admin operations (projects, database, auth, storage, functions, secrets)",True,yes,,https://supabase.com/docs/guides/ai-tools/mcp,high
66,Neo4j,"Developer, Infra and Data platforms","Neo4j is a native graph database platform that stores, queries, and analyzes highly connected data using the Cypher query language.",Basic (username/password) and Bearer token,self-serve,,"extensive, full platform - documented HTTP/Query API (Cypher over HTTP, transactions, discovery endpoints), Bolt driver protocol, plus separate Aura management REST API; broader than a narrow single-resource API",True,yes,,https://neo4j.com/docs/query-api/current/authentication-authorization/,high
67,Snowflake,"Developer, Infra and Data platforms","Cloud data platform for data warehousing, engineering, sharing, and AI/ML workloads (Cortex) with a SQL/REST API surface.","OAuth2, token (key-pair JWT / Personal Access Token)",self-serve,,"Extensive, full platform: SQL API for query execution plus REST APIs for account/object management (databases, warehouses, users, tasks), Cortex AI (Analyst, Search, Agents) endpoints, and Snowpark; free trial account gives full API access.",True,yes,,https://docs.snowflake.com/en/developer-guide/snowflake-rest-api/authentication,high
68,MongoDB Atlas,"Developer, Infra and Data platforms","MongoDB Atlas is a fully managed cloud database platform (DBaaS) offering an Administration API to programmatically provision and manage clusters, users, backups, and networking.","API key (HTTP Digest auth, public/private key pair) with OAuth2 via Service Accounts also supported",self-serve,,"extensive, full platform - the Atlas Administration API v2 (REST) covers hundreds of endpoints spanning clusters, projects, users, backups, network access, alerts, billing, search, and more; official SDKs exist for Go, Java, Python, etc.",True,yes,,https://www.mongodb.com/docs/atlas/api/api-authentication/,high
69,Datadog,"Developer, Infra and Data platforms","Cloud monitoring and observability platform for infrastructure metrics, logs, APM traces, and security signals",API key,self-serve,,"extensive, full platform - hundreds of REST endpoints across metrics, logs, APM, monitors, dashboards, incidents, security, and more (docs.datadoghq.com/api/latest/)",True,yes,,https://docs.datadoghq.com/api/latest/authentication/,high
70,Sentry,"Developer, Infra and Data platforms","Application monitoring platform for error tracking, performance monitoring, and debugging of software applications.",API key (personal/organization auth tokens) and OAuth2,self-serve,,"extensive, full platform - REST API with hundreds of endpoints covering projects, issues, events, releases, teams, alerts, and more",True,yes,,https://docs.sentry.io/api/auth/,high
71,Notion,Productivity and Project Management,"All-in-one workspace API for managing pages, databases, blocks, comments, and users in Notion",OAuth2 and API key (internal integration token),self-serve,,"documented REST API, moderate breadth (~20-30 endpoints covering pages, databases, blocks, users, search, comments); official hosted MCP server exists at mcp.notion.com",True,yes,,https://developers.notion.com/guides/mcp/overview,high
72,Airtable,Productivity and Project Management,"Cloud-based spreadsheet-database hybrid for building custom apps, workflows, and relational data tables","OAuth2, token (Personal Access Token via Bearer header)",self-serve,,"extensive, full platform - REST API covering bases, tables, records, fields, views, webhooks, attachments, and metadata (legacy API keys deprecated Feb 2024 in favor of PATs/OAuth)",True,yes,,https://airtable.com/developers/web/api/authentication,high
73,Linear,Productivity and Project Management,"Linear is an issue tracking and project management tool for software teams, offering a full GraphQL API for managing issues, projects, cycles, and workflows.","OAuth2 (PKCE, recommended for third-party apps) and personal API key (Bearer token) for account-level access",self-serve,,"extensive, full platform GraphQL API covering issues, projects, cycles, comments, labels, milestones, initiatives, documents, attachments, webhooks, and more",True,yes,,https://linear.app/developers/graphql,high
74,Jira,Productivity and Project Management,"Jira is Atlassian's issue-tracking and project management tool for planning, tracking, and managing agile software development and business workflows","OAuth2 (3-legged OAuth via Atlassian Identity, OAuth 2.0 3LO for Connect/Forge apps), also supports API tokens with Basic auth for simple integrations",self-serve,,"extensive, full platform - Jira Cloud REST API v3/v2 covers issues, projects, workflows, boards, sprints (Jira Software), users, permissions, webhooks, and JQL search; hundreds of endpoints documented at developer.atlassian.com",True,yes,,https://developer.atlassian.com/cloud/jira/platform/rest/v3/intro/,high
75,Asana,Productivity and Project Management,"Cloud-based work and project management platform for tracking tasks, projects, and team workflows","OAuth2, token (Personal Access Token)",self-serve,,"extensive, full platform - RESTful API covering workspaces, projects, tasks, users, tags, custom fields, portfolios, goals, webhooks, etc.",True,yes,,https://developers.asana.com/docs/authentication,high
76,Monday.com,Productivity and Project Management,"Cloud-based Work OS for managing projects, workflows, and team collaboration via customizable boards.",OAuth2 (for apps/integrations) and personal API tokens (token-based),self-serve,,"extensive, full platform — single GraphQL endpoint (api.monday.com/v2) covering boards, items, columns, users, workspaces, webhooks, and apps/automations",True,yes,,https://developer.monday.com/api-reference/docs/authentication,high
77,ClickUp,Productivity and Project Management,"ClickUp is a cloud-based productivity platform for task/project management, docs, goals, and team collaboration.",API key (personal token) and OAuth2,self-serve,,"extensive, full platform - REST API v2 covering tasks, lists, folders, spaces, docs, goals, time tracking, webhooks, etc.; MCP server already exists",True,yes,,https://developer.clickup.com/docs/authentication,high
78,Coda,Productivity and Project Management,"Coda is an all-in-one doc/spreadsheet/app platform combining documents, tables, and automations for team workflows.",API key (Bearer token),self-serve,,"extensive, full platform - REST API (v1) covering docs, pages, tables, rows, columns, formulas, controls, permissions, folders, publishing, automations, analytics, plus separate Admin API",True,yes,,https://coda.io/developers/apis/v1,high
79,Smartsheet,Productivity and Project Management,"Cloud-based work management and automation platform for tracking projects, workflows, and collaborative spreadsheets/sheets.",OAuth2 (also supports personal access/API tokens),self-serve,,"extensive, full platform - documented REST API covering sheets, rows, columns, cells, attachments, workspaces, reports, dashboards, webhooks, users, and admin resources",True,yes,,https://developers.smartsheet.com/api/smartsheet/introduction,high
80,Harvest,Productivity and Project Management,"Time tracking, invoicing, and expense management software for businesses and freelancers",OAuth2 and Personal Access Token (token),self-serve,,"extensive, full platform - REST API covering time entries, projects, tasks, clients, invoices, estimates, expenses, users, and reports",False,yes,,https://help.getharvest.com/api-v2/authentication-api/authentication/authentication/,high
81,Stripe,Finance and Fintech,"Payment processing platform providing APIs for online payments, billing, subscriptions, and financial infrastructure.","API key (restricted/secret keys), with OAuth2 also supported for Connect platform integrations and the remote MCP server",self-serve,,"extensive, full platform - REST API covering payments, customers, subscriptions, invoices, refunds, disputes, Connect, Billing, and more (hundreds of endpoints)",True,yes,,https://docs.stripe.com/mcp,high
82,Plaid,Finance and Fintech,"Plaid provides APIs that let apps securely connect to users' bank accounts to retrieve balances, transactions, identity, income, and other financial data.","API key (client_id + secret headers), with OAuth2 used in the Plaid Link bank-login flow",gated,"Sandbox/Development credentials are self-serve via the Dashboard, but live Production access to real bank data requires Plaid's approval/compliance review and a pricing agreement","extensive, full platform - dozens of REST endpoints across products (Auth, Identity, Balance, Transactions, Assets, Liabilities, Investments, Income, Transfer, etc.)",False,partial,"Production (real financial data) access is gated behind Plaid's approval/compliance process, not fully self-serve for agent-tooling use",https://plaid.com/docs/api/,medium
83,Binance,Finance and Fintech,"Binance's API platform lets developers programmatically access spot, margin, futures, and other crypto trading services, market data, and account/wallet management.",API key,self-serve,,"extensive, full platform - REST, WebSocket, and FIX APIs covering spot/margin/futures trading, market data, wallet, staking, sub-accounts, and more across dozens of docs pages with hundreds of endpoints",True,yes,,https://developers.binance.com/docs/binance-spot-api-docs/rest-api,high
84,Paygent Connect,Finance and Fintech,"A white-label payment gateway (built on NMI's infrastructure) for processing card payments, tokenized vaulting, and recurring billing.",API key,gated,"API security keys are generated in the merchant control panel, but you must first have an approved NMI/reseller merchant account (typically via an ISO/payment processor partnership), so there's no free/anonymous developer signup.","extensive, full platform - Direct Post/Query APIs, v4 API, Customer Vault (tokenization), recurring billing, and Gateway.js/Payment Component for tokenized checkout",False,partial,Requires a provisioned merchant account and merchant-portal-issued security key before any API access is possible; not something a developer can self-provision without a merchant/reseller relationship,https://docs.nmi.com/reference/authentication,medium
85,iPayX,Finance and Fintech,Forensic FX audit platform that scores international payment transactions against live mid-market rates to surface hidden bank/card FX fees and markups.,API key (Bearer token),self-serve,,"narrow, ~4-10 endpoints (check_fx_rate, audit_transaction, full_forensic_report, compare_fx_sources plus REST API/SDKs) covering FX audit and reporting; enterprise/white-label tier is contact-sales gated",True,yes,,https://www.ipayx.ai/,medium
86,QuickBooks,Finance and Fintech,"QuickBooks Online is Intuit's cloud accounting platform for invoicing, bookkeeping, payments, and financial reporting for small businesses",OAuth2,self-serve,,"extensive, full platform - REST API (Accounting API plus Payments, Payroll add-ons) covering Invoices, Customers, Payments, Bills, Vendors, Reports, and more, with free sandbox companies and webhooks for real-time sync",False,yes,,https://developer.intuit.com/app/developer/qbo/docs/develop,high
87,Xero,Finance and Fintech,"Cloud accounting software for small businesses covering invoicing, bank reconciliation, payroll, and financial reporting.",OAuth2,self-serve,,"extensive, full platform - REST APIs across Accounting, Payroll, Files, Assets, Projects, Payments, and Finance, each with dozens of endpoints",True,yes,,https://developer.xero.com/documentation/guides/oauth2/overview/,high
88,Brex,Finance and Fintech,"Corporate card, spend management, and expense platform providing APIs for transactions, cards, expenses, budgets, and payments",OAuth2 (authorization code / client credentials) and static API key (bearer token),gated,"API tokens require an Account Admin or Card Admin role on an existing paid Brex account, and OAuth partner integrations require Brex approval of redirect URIs/client credentials","extensive, full platform - REST API covering transactions, cards, expenses, budgets, users, payments, accounting, and onboarding, plus scopes system; an official first-party MCP server also exists",True,yes,,https://developer.brex.com/docs/mcp,high
89,Ramp,Finance and Fintech,"Ramp is a corporate card and spend management platform providing APIs for transactions, cards, reimbursements, accounting, bills, and users.",OAuth2 (client credentials and authorization code grants),gated,"Requires an existing Ramp business account, and only Admin or Business Owner roles can create a developer app and grant OAuth2 scopes (sandbox access is available but tied to a Ramp customer account).","extensive - full platform covering transactions, cards, reimbursements, bills, accounting, users, limits, and more, documented as versioned REST API (v1)",False,partial,"Admin approval and an active Ramp business account are needed to provision OAuth2 credentials, limiting self-serve access for independent developers",https://docs.ramp.com/developer-api/v1/authorization/oauth,medium
90,PitchBook,Finance and Fintech,"Provides private/public market financial data (companies, deals, investors, funds, LPs, valuations) via a research platform and data API.",API key,gated,"API requires a separate paid contract, account-manager approval, and a requested sandbox key — no public self-signup.","documented REST API (PB-Token auth, api.pitchbook.com) with relational endpoints across deals, companies, investors, funds, people, LPs, service providers — moderately broad but credit-metered and contract-gated; no MCP server found",False,partial,Requires existing PitchBook client status plus a separate paid API contract and account-manager-issued sandbox key before any integration work can start.,https://pitchbook.com/help/PitchBook-api,medium
91,NotebookLM,"AI, Research and Media-native","Enterprise version of Google's AI notebook/research assistant that lets users upload documents and data sources to generate summaries, Q&A, and audio overviews grounded in their own content.",OAuth2 (Google Cloud IAM / service account credentials),gated,"Requires a paid NotebookLM Enterprise or Gemini Enterprise license tied to a Google Cloud project with billing/IAM setup, not a free self-serve API key.","narrow, ~10-15 endpoints (notebooks.create, sources management, batch upload) via google.cloud.notebooklm.v1alpha REST/gRPC API, plus Gemini Enterprise integration endpoints",False,partial,Requires paid Google Cloud enterprise licensing and IAM-based project setup before any API access is possible; no free tier or public MCP server exists yet,https://docs.cloud.google.com/gemini/enterprise/notebooklm-enterprise/docs/api-notebooks,medium
92,Otter AI,"AI, Research and Media-native","AI meeting assistant that records, transcribes, and summarizes conversations with action items and insights",API key (Bearer token),gated,Public API is in beta and restricted to Enterprise plan customers who must contact their Otter account manager to enable access and generate a token,"narrow-to-moderate, documented REST API (beta) covering channels, conversations, transcripts, audio, action items, insights, outlines, and workspace details with cursor-based pagination and rate limits (~10 req/s); an official Otter MCP Server also exists for Enterprise customers",True,partial,API and MCP server require an Enterprise plan plus manual enablement via account manager; no self-serve trial keys available,https://help.otter.ai/hc/en-us/articles/36130822688279-Otter-ai-Public-API,medium
93,Fathom,"AI, Research and Media-native","AI meeting recorder/notetaker that records, transcribes, and summarizes video calls, generating action items and CRM-ready notes.",API key,self-serve,,"Documented REST API at api.fathom.ai/external/v1 (developers.fathom.ai) covering meetings, recordings/transcripts, summaries, action items, teams, and webhooks — narrow-to-moderate, roughly a dozen endpoints plus webhook registration; TypeScript/Python SDKs provided.",True,yes,,https://developers.fathom.ai/quickstart,high
94,Consensus,"AI, Research and Media-native",AI-powered search engine that finds and synthesizes answers from peer-reviewed research papers,"API key (REST), OAuth2 (MCP server)",gated,"API access is 'by application only' with per-call pricing plus a platform fee, requiring a custom quote/approval rather than free self-service signup","narrow, single documented v1 quick_search endpoint (api.consensus.app/v1/quick_search) plus a hosted MCP server at mcp.consensus.app/mcp",True,partial,"Official REST API requires applying and getting a custom quote/approval (not self-serve free tier), though a hosted OAuth-based MCP server already exists",https://docs.consensus.app/reference,medium
95,Reducto,"AI, Research and Media-native","Agentic document intelligence platform providing APIs for parsing, splitting, extracting, editing, and classifying complex documents (PDFs, scans, tables) into LLM-ready structured data.",API key,self-serve,,"extensive, full platform — documented REST API (public OpenAPI 3.1 spec) with Parse, Extract, Split, Edit, Classify, Pipeline, Cite endpoints plus async/job variants and an Upload API; official Python/Node SDKs",True,yes,,https://docs.reducto.ai/quickstart,high
96,Devin,"AI, Research and Media-native","Devin is an autonomous AI software engineer that plans, writes, tests, and ships code, exposed via a REST API and MCP server for programmatic session/task management.","API key (Bearer token, cog_ prefix; service-user keys or personal access tokens)",gated,API/MCP access requires a paid Team ($80+/mo) or Enterprise plan; the free and individual Pro tiers do not include API access.,"documented REST API (v1/v2/v3, 'External API') covering sessions, playbooks, knowledge base, integrations, API keys - moderate breadth, full platform management rather than just core coding tasks; official first-party MCP server (mcp.devin.ai) already wraps it",True,partial,Requires purchasing/upgrading to a paid Team or Enterprise plan to unlock API/MCP access; no free or trial path to credentials,https://docs.devin.ai/work-with-devin/devin-mcp,high
97,higgsfield,"AI, Research and Media-native","AI content-generation platform/CLI for creating cinematic images, videos, 3D assets, and audio via 40+ generative models, usable by developers and AI agents.","API key (key + secret pair, Bearer/env-var based)",self-serve,,"Documented REST API (Higgsfield Cloud API) with official Python and Node.js/TypeScript SDKs and a CLI wrapping generation endpoints (image, video, 3D, audio, analysis) across 40+ models — moderate breadth, not a huge platform but broader than a single-endpoint tool.",True,yes,,https://cloud.higgsfield.ai/api-keys,medium
98,Mermaid CLI,"AI, Research and Media-native","Command-line tool (mmdc) that renders Mermaid diagram definition files into SVG, PNG, or PDF using a headless Chromium/Puppeteer instance.",other,self-serve,,"No hosted REST/GraphQL API - it's a local npm CLI/Node.js library (@mermaid-js/mermaid-cli) invoked as a subprocess or imported programmatically; input/output is via files or stdio, not network endpoints. An MCP server already exists (e.g. peng-shawn/mermaid-mcp-server) wrapping this exact rendering functionality.",True,yes,,https://github.com/mermaid-js/mermaid-cli/blob/master/README.md,high
99,YouTube Transcript,"AI, Research and Media-native","REST API for extracting YouTube video transcripts, plus search, channel, and playlist data.",API key (Bearer token),self-serve,,"narrow, ~6 documented REST endpoints (transcripts, search, channel search/browse/latest, playlist extraction)",True,yes,,https://transcriptapi.com/docs/api/,high
100,Grain,"AI, Research and Media-native","Grain records, transcribes, and uses AI to summarize video meetings, extracting notes, highlights, and insights for sales and product teams.",OAuth2 (Authorization Code + PKCE) and API key,gated,"API/OAuth client registration and full API access require a paid Grain plan (Business/Enterprise tier), not available on free accounts","documented REST API (developers.grain.com) covering recordings, highlights, insights, views, and webhooks — narrow-to-moderate, not a full platform; no MCP server found",False,partial,API access gated behind paid plan tiers and OAuth app approval; no existing MCP server to build on,https://developers.grain.com/,medium
